"Study","SampleSize","Scenario","Method","Effect","Replications","SuccessRate","Bias","RMSE","Coverage95","MonteCarloSE","AvgLength"
"Comparator",300,"Skew-normal","Imai bootstrap","TNDE",500,1,-0.0140758562217057,0.152509552258273,0.964,0.0083311463797007,0.606617157167646
"Comparator",300,"Skew-normal","Imai bootstrap","TE",500,1,-0.00655745790675995,0.142547482785065,0.976,0.00684455988358638,0.564011824816564
"Comparator",300,"Skew-normal","Imai quasi-Bayes","PNIE",500,1,0.00754503764949556,0.0970790170049035,0.95,0.00974679434480897,0.388265140907847
"Comparator",300,"Skew-normal","Imai quasi-Bayes","TNIE",500,1,-0.00502567316581062,0.0409740413151211,0.934,0.0111035129576184,0.158729769870984
"Comparator",300,"Skew-normal","Imai quasi-Bayes","PNDE",500,1,-0.00287744938840325,0.140763763540638,0.978,0.00655987804764693,0.611891566333572
"Comparator",300,"Skew-normal","Imai quasi-Bayes","TNDE",500,1,-0.0154481602037095,0.14241264927906,0.968,0.00787095928079926,0.612609319724135
"Comparator",300,"Skew-normal","Imai quasi-Bayes","TE",500,1,-0.00790312255421396,0.132254668472364,0.974,0.00711674082709214,0.572026174653852
"Comparator",300,"Skew-normal","medflex NEM","PNIE",500,1,0.00762529582367751,0.0983484288327674,0.944,0.0102824121683582,0.391968994732294
"Comparator",300,"Skew-normal","medflex NEM","TNIE",500,1,-0.00469786216641555,0.0446345171405409,0.914,0.0125382614424808,0.16815718063109
"Comparator",300,"Skew-normal","medflex NEM","PNDE",500,1,-0.00287210019661155,0.142489140318004,0.956,0.00917213170424412,0.575582880934007
"Comparator",300,"Skew-normal","medflex NEM","TNDE",500,1,-0.0151952581867047,0.142036932842833,0.958,0.00897061870775924,0.575120951917527
"Comparator",300,"Skew-normal","medflex NEM","TE",500,1,-0.0075699623630272,0.131619694150355,0.958,0.00897061870775924,0.52752794491347
"Comparator",300,"Skew-normal","OLS","PNIE",500,1,0.00751839831494579,0.0971052493190415,0.952,0.00955991631762538,0.385686931916643
"Comparator",300,"Skew-normal","OLS","TNIE",500,1,-0.00509214209792292,0.041001460990111,0.896,0.013651666564929,0.151898319054772
"Comparator",300,"Skew-normal","OLS","PNDE",500,1,-0.00274780120395033,0.140435164293817,0.964,0.0083311463797007,0.571491443781504
"Comparator",300,"Skew-normal","OLS","TNDE",500,1,-0.0153583416168191,0.142233367378345,0.944,0.0102824121683582,0.570948210134947
"Comparator",300,"Skew-normal","OLS","TE",500,1,-0.00783994330187333,0.131935245223045,0.954,0.00936845771725528,0.527298808133056
"Comparator",300,"Skew-normal","Semiparametric","PNIE",500,1,0.0058992554712753,0.076887769982535,0.956,0.00917213170424412,0.311996119639589
"Comparator",300,"Skew-normal","Semiparametric","TNIE",500,1,-0.00252901554526105,0.0314273653892589,0.928,0.0115599307956406,0.124103314258431
"Comparator",300,"Skew-normal","Semiparametric","PNDE",500,1,-0.00268021443499639,0.11587772832611,0.968,0.00787095928079926,0.475195278421866
"Comparator",300,"Skew-normal","Semiparametric","TNDE",500,1,-0.0111084854515328,0.115981473497385,0.96,0.00876356092008266,0.476439120676815
"Comparator",300,"Skew-normal","Semiparametric","TE",500,1,-0.00520922998025751,0.108248184040476,0.962,0.0085505555375075,0.442121736739984
