"Study","SampleSize","Scenario","Replication","Method","Success"
"Main",200,"Gaussian",264,"OLS",TRUE
"Main",200,"Gaussian",264,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",158,"OLS",TRUE
"Main",200,"Asymmetric mixture",158,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",36,"OLS",TRUE
"Main",200,"Symmetric bimodal",36,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",903,"OLS",TRUE
"Main",500,"Symmetric bimodal",903,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",197,"OLS",TRUE
"Main",500,"Asymmetric mixture",197,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",766,"OLS",TRUE
"Main",200,"Asymmetric mixture",766,"Semiparametric",FALSE
"Main",500,"Asymmetric mixture",126,"OLS",TRUE
"Main",500,"Asymmetric mixture",126,"Semiparametric",TRUE
"Main",500,"Gaussian",714,"OLS",TRUE
"Main",500,"Gaussian",714,"Semiparametric",TRUE
"Main",200,"Skew-normal",865,"OLS",TRUE
"Main",200,"Skew-normal",865,"Semiparametric",TRUE
"Main",500,"Gaussian",964,"OLS",TRUE
"Main",500,"Gaussian",964,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",139,"OLS",TRUE
"Main",500,"Symmetric bimodal",139,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",732,"OLS",TRUE
"Main",500,"Symmetric bimodal",732,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",294,"OLS",TRUE
"Main",200,"Asymmetric mixture",294,"Semiparametric",TRUE
"Main",200,"Skew-normal",850,"OLS",TRUE
"Main",200,"Skew-normal",850,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",954,"OLS",TRUE
