"Study","SampleSize","Scenario","Replication","Effect","Estimate","StdError","Lower","Upper","Method"
"Main",500,"Gaussian",574,"TNDE",1.0470765473554,0.108323392919849,0.834766598549314,1.25938649616148,"OLS"
"Main",500,"Gaussian",574,"TE",0.836625216112038,0.102414329883528,0.635896818039519,1.03735361418456,"OLS"
"Main",500,"Gaussian",574,"PNIE",-0.201500883093876,0.0695407327157024,-0.337798214675179,-0.0652035515125736,"Semiparametric"
"Main",500,"Gaussian",574,"TNIE",0.0628003138767342,0.0259651097241732,0.0119096339627241,0.113690993790744,"Semiparametric"
"Main",500,"Gaussian",574,"PNDE",0.78352804867399,0.113073775438651,0.561907521218264,1.00514857612972,"Semiparametric"
"Main",500,"Gaussian",574,"TNDE",1.0478292456446,0.110510218575188,0.831233197313584,1.26442529397562,"Semiparametric"
"Main",500,"Gaussian",574,"TE",0.846328362550725,0.105227834890912,0.64008559599341,1.05257112910804,"Semiparametric"
"Main",200,"Gaussian",338,"PNIE",-0.243718290613627,0.10072375019093,-0.44113321337566,-0.0463033678515946,"OLS"
"Main",200,"Gaussian",338,"TNIE",0.0709292751759029,0.045500208904789,-0.0182494955665322,0.160108045918338,"OLS"
"Main",200,"Gaussian",338,"PNDE",0.90847112771516,0.174409981016591,0.566633846378327,1.25030840905199,"OLS"
"Main",200,"Gaussian",338,"TNDE",1.22311869350469,0.174040913027266,0.88200477213478,1.5642326148746,"OLS"
"Main",200,"Gaussian",338,"TE",0.979400402891063,0.15903358005829,0.667700313644348,1.29110049213778,"OLS"
"Main",200,"Gaussian",338,"PNIE",-0.221904424992211,0.115126202770971,-0.447547636100169,0.00373878611574657,"Semiparametric"
"Main",200,"Gaussian",338,"TNIE",0.0686554986168627,0.0476976406086624,-0.0248301591236507,0.162141156357376,"Semiparametric"
"Main",200,"Gaussian",338,"PNDE",0.877691812538652,0.174380182437305,0.53591293534401,1.21947068973329,"Semiparametric"
"Main",200,"Gaussian",338,"TNDE",1.16825173614773,0.17236879669855,0.830415102560061,1.50608836973539,"Semiparametric"
"Main",200,"Gaussian",338,"TE",0.946347311155515,0.152223938266281,0.647993874568756,1.24470074774227,"Semiparametric"
"Main",500,"Symmetric bimodal",646,"PNIE",-0.26105732628769,0.0625119469745128,-0.383578490961213,-0.138536161614168,"OLS"
"Main",500,"Symmetric bimodal",646,"TNIE",0.0850292207777255,0.0312265497500987,0.0238263079060839,0.146232133649367,"OLS"
"Main",500,"Symmetric bimodal",646,"PNDE",0.593239576318239,0.106220853019719,0.385050529992467,0.80142862264401,"OLS"
"Main",500,"Symmetric bimodal",646,"TNDE",0.939326123383655,0.104700408678788,0.734117093206605,1.1445351535607,"OLS"
"Main",500,"Symmetric bimodal",646,"TE",0.678268797095964,0.0984073535934304,0.485393928238943,0.871143665952986,"OLS"
"Main",500,"Symmetric bimodal",646,"PNIE",-0.311455230671015,0.0201674055700377,-0.350982619249901,-0.271927842092129,"Semiparametric"
"Main",500,"Symmetric bimodal",646,"TNIE",0.0769011787603862,0.00837754883010953,0.0604814847746459,0.0933208727461265,"Semiparametric"
"Main",500,"Symmetric bimodal",646,"PNDE",0.68874876938617,0.0528468733329977,0.585170800957945,0.792326737814396,"Semiparametric"
"Main",500,"Symmetric bimodal",646,"TNDE",1.07710517881757,0.0515635463194405,0.976042485116305,1.17816787251884,"Semiparametric"
"Main",500,"Symmetric bimodal",646,"TE",0.765649948146556,0.0517651003403185,0.66419221582343,0.867107680469683,"Semiparametric"
"Main",500,"Symmetric bimodal",923,"PNIE",-0.319700110903613,0.0676117590724681,-0.45221672361705,-0.187183498190176,"OLS"
"Main",500,"Symmetric bimodal",923,"TNIE",0.0918709243577565,0.0360833239351202,0.0211489090024289,0.162592939713084,"OLS"
"Main",500,"Symmetric bimodal",923,"PNDE",0.727349185818139,0.11007675686618,0.511602706825455,0.943095664810824,"OLS"
"Main",500,"Symmetric bimodal",923,"TNDE",1.13892022107951,0.110576432572131,0.92219439569921,1.35564604645981,"OLS"
"Main",500,"Symmetric bimodal",923,"TE",0.819220110175896,0.100598580920759,0.62205051467537,1.01638970567642,"OLS"
"Main",500,"Symmetric bimodal",923,"PNIE",-0.315236614955749,0.0193949311566442,-0.353249981505405,-0.277223248406092,"Semiparametric"
"Main",500,"Symmetric bimodal",923,"TNIE",0.0926729686442839,0.00907616336890368,0.074884015323431,0.110461921965137,"Semiparametric"
"Main",500,"Symmetric bimodal",923,"PNDE",0.7596006894008,0.0537904215131463,0.654173400521805,0.865027978279795,"Semiparametric"
"Main",500,"Symmetric bimodal",923,"TNDE",1.16751027300083,0.0541935423809648,1.0612928817395,1.27372766426217,"Semiparametric"
"Main",500,"Symmetric bimodal",923,"TE",0.852273658045084,0.0525323692991489,0.749312106196194,0.955235209893973,"Semiparametric"
"Main",200,"Asymmetric mixture",634,"PNIE",-0.391414236244258,0.132677744337026,-0.651457836694843,-0.131370635793673,"OLS"
"Main",200,"Asymmetric mixture",634,"TNIE",0.19530382811933,0.0839443576450669,0.0307759104296493,0.359831745809011,"OLS"
"Main",200,"Asymmetric mixture",634,"PNDE",0.582676797723083,0.178119934361014,0.233568141446858,0.931785453999308,"OLS"
"Main",200,"Asymmetric mixture",634,"TNDE",1.16939486208667,0.19597849996409,0.785284060412871,1.55350566376047,"OLS"
"Main",200,"Asymmetric mixture",634,"TE",0.777980625842413,0.161950520976511,0.460563437450953,1.09539781423387,"OLS"
