"Study","SampleSize","Scenario","Replication","Effect","Estimate","StdError","Lower","Upper","Method"
"Comparator",300,"Symmetric bimodal",1,"PNDE",0.645705854978911,0.0703272261621438,0.507867024568506,0.783544685389316,"Semiparametric"
"Comparator",300,"Symmetric bimodal",1,"TNDE",0.989592580427802,0.0683321939454468,0.85566394131012,1.12352121954548,"Semiparametric"
"Comparator",300,"Symmetric bimodal",1,"TE",0.704732893085509,0.0683384524778075,0.570791987469805,0.838673798701214,"Semiparametric"
"Comparator",300,"Symmetric bimodal",1,"PNIE",-0.508027369288966,NA,-0.741176125255297,-0.285575868136416,"Imai quasi-Bayes"
"Comparator",300,"Symmetric bimodal",1,"TNIE",0.0690206545902917,NA,-0.0218593120245657,0.169581850466173,"Imai quasi-Bayes"
"Comparator",300,"Symmetric bimodal",1,"PNDE",0.496476515170841,NA,0.181725912958309,0.805034196526128,"Imai quasi-Bayes"
"Comparator",300,"Symmetric bimodal",1,"TNDE",1.0735245390501,NA,0.779333543983961,1.39522527296308,"Imai quasi-Bayes"
"Comparator",300,"Symmetric bimodal",1,"TE",0.565497169761133,NA,0.272915836096451,0.862342324643715,"Imai quasi-Bayes"
"Comparator",300,"Symmetric bimodal",1,"PNIE",-0.512506812866432,NA,-0.756606078241653,-0.299359186790304,"Imai bootstrap"
"Comparator",300,"Symmetric bimodal",1,"TNIE",0.0693404008802919,NA,-0.0194387987528432,0.174996081691533,"Imai bootstrap"
"Comparator",300,"Symmetric bimodal",1,"PNDE",0.4961643196867,NA,0.191599613929305,0.862752960604738,"Imai bootstrap"
"Comparator",300,"Symmetric bimodal",1,"TNDE",1.07801153343342,NA,0.76343701932766,1.44184729456089,"Imai bootstrap"
"Comparator",300,"Symmetric bimodal",1,"TE",0.565504720566991,NA,0.287698634286537,0.929386530686281,"Imai bootstrap"
"Comparator",300,"Symmetric bimodal",1,"PNIE",-0.507836951573152,0.115230267188499,-0.733684125191537,-0.281989777954766,"medflex NEM"
"Comparator",300,"Symmetric bimodal",1,"TNIE",0.0649820994686573,0.0505814542084509,-0.0341557290655684,0.164119928002883,"medflex NEM"
"Comparator",300,"Symmetric bimodal",1,"PNDE",0.506851830749367,0.153915968936605,0.205182074988037,0.808521586510698,"medflex NEM"
"Comparator",300,"Symmetric bimodal",1,"TNDE",1.07967088179118,0.154036981291803,0.777763946171973,1.38157781741038,"medflex NEM"
"Comparator",300,"Symmetric bimodal",1,"TE",0.571833930218025,0.141562007658331,0.294377493628512,0.849290366807537,"medflex NEM"
"Comparator",300,"Gaussian",2,"PNIE",-0.274123624906662,0.110363545532813,-0.490432199357122,-0.0578150504562014,"OLS"
"Comparator",300,"Gaussian",2,"TNIE",0.0451219030247632,0.0291590451286974,-0.0120287752510619,0.102272581300588,"OLS"
"Comparator",300,"Gaussian",2,"PNDE",0.824826807996855,0.154220215503942,0.522560739921123,1.12709287607259,"OLS"
"Comparator",300,"Gaussian",2,"TNDE",1.14407233592828,0.151185423535523,0.847754350811221,1.44039032104534,"OLS"
"Comparator",300,"Gaussian",2,"TE",0.869948711021618,0.144767493858395,0.586209636927042,1.15368778511619,"OLS"
"Comparator",300,"Gaussian",2,"PNIE",-0.319499088667246,0.133907827713263,-0.581953608233236,-0.0570445691012547,"Semiparametric"
